date,stock,volume,positive,negative,neutral,trendscore,price,open,high,low
2019-03-01,GOOG,1450000.0,8.0,1.0,31.0,26.0,1140.99,1124.9,1142.97,1124.75
2019-02-28,GOOG,1540000.0,10.0,1.0,25.0,21.08,1119.92,1111.3,1127.65,1111.01
2019-02-27,GOOG,968760.0,7.0,1.0,30.0,20.77,1116.05,1106.95,1117.98,1101.0
2019-02-26,GOOG,1470000.0,11.0,2.0,36.0,21.39,1115.13,1105.75,1119.51,1099.92
2019-02-25,GOOG,1410000.0,13.0,2.0,83.0,22.94,1109.4,1116.0,1118.54,1107.27
2019-02-22,GOOG,1050000.0,18.0,4.0,128.0,22.63,1110.37,1100.9,1111.24,1095.6
2019-02-21,GOOG,1420000.0,12.0,3.0,84.0,18.6,1096.97,1110.84,1111.94,1092.52
2019-02-20,GOOG,1090000.0,13.0,7.0,30.0,21.39,1113.8,1119.99,1123.41,1105.28
2019-02-19,GOOG,1050000.0,15.0,3.0,69.0,22.63,1118.56,1110.0,1121.89,1110.0
2019-02-15,GOOG,1450000.0,16.0,1.0,124.0,21.7,1113.65,1130.08,1131.67,1110.65
2019-02-14,GOOG,947630.0,28.0,4.0,124.0,22.94,1121.67,1118.05,1128.23,1110.44
2019-02-13,GOOG,1050000.0,14.0,2.0,31.0,21.39,1120.16,1124.99,1134.73,1118.5
2019-02-12,GOOG,1610000.0,16.0,2.0,61.0,22.94,1121.37,1106.8,1125.3,1105.85
2019-02-11,GOOG,1070000.0,12.0,2.0,101.0,21.7,1095.01,1096.95,1105.94,1092.86
2019-02-08,GOOG,1080000.0,25.0,6.0,67.0,20.77,1095.06,1087.0,1098.91,1086.55
2019-02-07,GOOG,2040000.0,23.0,3.0,59.0,23.56,1098.71,1104.16,1104.84,1086.0
2019-02-06,GOOG,2110000.0,14.0,1.0,58.0,24.8,1115.23,1139.57,1147.0,1112.77
2019-02-05,GOOG,3550000.0,19.0,5.0,80.0,31.0,1145.99,1124.84,1146.85,1117.25
2019-02-04,GOOG,2580000.0,20.0,2.0,79.0,30.38,1132.8,1112.66,1132.8,1109.02
2019-02-01,GOOG,1460000.0,17.0,1.0,65.0,21.08,1110.75,1112.4,1125.0,1104.89
2019-01-31,GOOG,1540000.0,13.0,2.0,84.0,29.7,1116.37,1103.0,1117.33,1095.41
2019-01-30,GOOG,1280000.0,25.0,2.0,86.0,29.4,1089.06,1068.43,1091.0,1066.85
2019-01-29,GOOG,1020000.0,12.0,2.0,76.0,28.8,1060.62,1072.68,1075.15,1055.86
2019-01-28,GOOG,1280000.0,16.0,3.0,60.0,29.4,1070.08,1080.11,1083.0,1063.8
2019-01-25,GOOG,1120000.0,15.0,2.0,44.0,27.6,1090.99,1085.0,1094.0,1081.82
2019-01-24,GOOG,1360000.0,16.0,2.0,75.0,27.0,1073.9,1076.48,1079.47,1060.7
2019-01-23,GOOG,966960.0,13.0,3.0,114.0,27.9,1075.57,1077.35,1084.93,1059.75
2019-01-22,GOOG,1610000.0,19.0,2.0,92.0,29.4,1070.52,1088.0,1091.51,1063.47
2019-01-18,GOOG,1960000.0,13.0,1.0,33.0,28.2,1098.26,1100.0,1108.35,1090.9
2019-01-17,GOOG,1240000.0,9.0,3.0,71.0,28.8,1089.9,1079.47,1091.8,1073.5
2019-01-16,GOOG,1330000.0,12.0,2.0,47.0,29.7,1080.97,1080.0,1092.38,1079.34
2019-01-15,GOOG,1460000.0,17.0,2.0,28.0,27.3,1077.15,1050.17,1080.05,1047.34
2019-01-14,GOOG,1140000.0,16.0,3.0,80.0,27.3,1044.69,1046.92,1051.53,1041.26
2019-01-11,GOOG,1520000.0,19.0,2.0,103.0,27.6,1057.19,1063.18,1063.78,1048.48
2019-01-10,GOOG,1460000.0,16.0,3.0,118.0,29.1,1070.33,1067.66,1071.15,1057.71
2019-01-09,GOOG,1200000.0,23.0,3.0,115.0,29.7,1074.66,1081.65,1082.63,1066.4
2019-01-08,GOOG,1770000.0,16.0,3.0,64.0,30.0,1076.28,1076.11,1084.56,1060.53
2019-01-07,GOOG,1980000.0,13.0,2.0,39.0,27.6,1068.39,1071.5,1074.0,1054.76
2019-01-04,GOOG,2090000.0,18.0,3.0,78.0,27.6,1070.71,1032.59,1070.84,1027.42
2019-01-03,GOOG,1840000.0,12.0,4.0,76.0,30.0,1016.06,1041.0,1056.98,1014.07
2019-01-02,GOOG,1530000.0,15.0,2.0,84.0,25.5,1045.85,1016.57,1052.32,1015.71
2018-12-31,GOOG,1490000.0,9.0,3.0,70.0,22.33,1035.61,1050.96,1052.7,1023.59
2018-12-28,GOOG,1410000.0,16.0,3.0,99.0,22.33,1037.08,1049.62,1055.56,1033.1
2018-12-27,GOOG,2110000.0,20.0,3.0,113.0,28.13,1043.88,1017.15,1043.89,997.0
2018-12-26,GOOG,2370000.0,15.0,1.0,63.0,27.84,1039.46,989.01,1040.0,983.0
2018-12-24,GOOG,1590000.0,19.0,3.0,56.0,24.36,976.22,973.9,1003.54,970.11
2018-12-21,GOOG,4600000.0,20.0,1.0,53.0,24.65,979.54,1015.3,1024.02,973.69
2018-12-20,GOOG,2670000.0,25.0,6.0,84.0,24.07,1009.41,1018.13,1034.22,996.36
2018-12-19,GOOG,2480000.0,12.0,4.0,53.0,26.68,1023.01,1033.99,1062.0,1008.05
2018-12-18,GOOG,2190000.0,11.0,2.0,49.0,25.23,1028.71,1026.09,1049.48,1021.44
2018-12-17,GOOG,2390000.0,13.0,1.0,96.0,24.07,1016.53,1037.51,1053.15,1007.9
2018-12-14,GOOG,1690000.0,13.0,3.0,101.0,26.1,1042.1,1049.98,1062.6,1040.79
2018-12-13,GOOG,1330000.0,14.0,3.0,80.0,25.81,1061.9,1068.07,1079.76,1053.93
2018-12-12,GOOG,1520000.0,12.0,32.0,92.0,26.1,1063.68,1068.0,1081.65,1062.79
2018-12-11,GOOG,1390000.0,12.0,3.0,70.0,28.13,1051.75,1056.49,1060.6,1039.84
2018-12-10,GOOG,1810000.0,11.0,3.0,44.0,29.0,1039.55,1035.05,1048.45,1023.29
2018-12-07,GOOG,2100000.0,13.0,4.0,92.0,25.81,1036.58,1060.01,1075.26,1028.5
2018-12-06,GOOG,2770000.0,29.0,2.0,110.0,29.0,1068.73,1034.26,1071.2,1030.77
2018-12-04,GOOG,2350000.0,16.0,2.0,80.0,27.84,1050.82,1103.12,1104.42,1049.98
2018-12-03,GOOG,1990000.0,15.0,3.0,44.0,27.84,1106.43,1123.14,1124.65,1103.66
2018-11-30,GOOG,2580000.0,15.0,3.0,55.0,27.9,1094.43,1089.07,1095.57,1077.88
2018-11-29,GOOG,1470000.0,16.0,3.0,76.0,28.5,1088.3,1076.08,1094.24,1076.0
2018-11-28,GOOG,2480000.0,16.0,2.0,50.0,26.7,1086.23,1048.76,1086.84,1035.76
2018-11-27,GOOG,1800000.0,16.0,21.0,118.0,27.9,1044.41,1041.0,1057.58,1038.49
2018-11-26,GOOG,1940000.0,18.0,5.0,111.0,27.9,1048.62,1038.35,1049.31,1033.91
2018-11-23,GOOG,691460.0,23.0,3.0,91.0,24.3,1023.88,1030.0,1037.59,1022.4
2018-11-21,GOOG,1530000.0,13.0,2.0,50.0,25.2,1037.61,1036.76,1048.56,1033.47
2018-11-20,GOOG,2450000.0,24.0,2.0,119.0,30.0,1025.76,1000.0,1031.74,996.02
2018-11-19,GOOG,1860000.0,18.0,2.0,79.0,29.4,1020.0,1057.2,1060.79,1016.26
2018-11-16,GOOG,1660000.0,18.0,2.0,116.0,26.7,1061.49,1059.41,1067.0,1048.98
2018-11-15,GOOG,1840000.0,18.0,1.0,135.0,27.0,1064.71,1044.71,1071.85,1031.78
2018-11-14,GOOG,1570000.0,23.0,2.0,98.0,28.5,1043.66,1050.0,1054.56,1031.0
2018-11-13,GOOG,1510000.0,11.0,2.0,37.0,28.5,1036.05,1043.29,1056.61,1031.15
2018-11-12,GOOG,1470000.0,7.0,1.0,29.0,27.3,1038.63,1061.39,1062.12,1031.0
