date,AAPL stock,isPartial
2013-02-01,90,False
2013-02-02,24,False
2013-02-03,29,False
2013-02-04,85,False
2013-02-05,65,False
2013-02-06,82,False
2013-02-07,96,False
2013-02-08,97,False
2013-02-09,39,False
2013-02-10,17,False
2013-02-11,76,False
2013-02-12,100,False
2013-02-13,83,False
2013-02-14,64,False
2013-02-15,80,False
2013-02-16,21,False
2013-02-17,7,False
2013-02-18,28,False
2013-02-19,56,False
2013-02-20,61,False
2013-02-21,62,False
2013-02-22,53,False
2013-02-23,18,False
2013-02-24,9,False
2013-02-25,57,False
2013-02-26,83,False
2013-02-27,72,False
2013-02-28,75,False
