,date,AMZN,isPartial
0,2012-01-01,1.12,False
1,2012-01-02,0.64,False
2,2012-01-03,1.76,False
3,2012-01-04,1.2,False
4,2012-01-05,1.92,False
5,2012-01-06,2.08,False
6,2012-01-07,0.96,False
7,2012-01-08,0.4,False
8,2012-01-09,2.08,False
9,2012-01-10,1.92,False
10,2012-01-11,1.28,False
11,2012-01-12,1.84,False
12,2012-01-13,1.92,False
13,2012-01-14,0.24,False
14,2012-01-15,0.24,False
15,2012-01-16,1.36,False
16,2012-01-17,2.32,False
17,2012-01-18,2.16,False
18,2012-01-19,2.08,False
19,2012-01-20,1.52,False
20,2012-01-21,0.72,False
21,2012-01-22,1.04,False
22,2012-01-23,1.36,False
23,2012-01-24,2.24,False
24,2012-01-25,2.24,False
25,2012-01-26,2.56,False
26,2012-01-27,2.24,False
27,2012-01-28,0.8,False
28,2012-01-29,0.48,False
29,2012-01-30,2.48,False
30,2012-01-31,8.0,False
0,2012-02-01,8.0,False
1,2012-02-02,4.72,False
2,2012-02-03,2.8000000000000003,False
3,2012-02-04,1.36,False
4,2012-02-05,0.4,False
5,2012-02-06,2.08,False
6,2012-02-07,1.84,False
7,2012-02-08,1.76,False
8,2012-02-09,1.76,False
9,2012-02-10,2.16,False
10,2012-02-11,0.96,False
11,2012-02-12,0.4,False
12,2012-02-13,2.16,False
13,2012-02-14,2.4,False
14,2012-02-15,2.0,False
15,2012-02-16,1.6,False
16,2012-02-17,1.68,False
17,2012-02-18,0.56,False
18,2012-02-19,0.8,False
19,2012-02-20,0.48,False
20,2012-02-21,1.36,False
21,2012-02-22,2.16,False
22,2012-02-23,0.8,False
23,2012-02-24,1.92,False
24,2012-02-25,0.24,False
25,2012-02-26,0.24,False
26,2012-02-27,2.0,False
27,2012-02-28,1.6,False
28,2012-02-29,1.52,False
0,2012-03-01,2.94,False
1,2012-03-02,3.7199999999999998,False
2,2012-03-03,0.78,False
3,2012-03-04,0.8999999999999999,False
4,2012-03-05,2.46,False
5,2012-03-06,4.32,False
6,2012-03-07,4.92,False
7,2012-03-08,4.5,False
8,2012-03-09,3.3,False
9,2012-03-10,1.44,False
10,2012-03-11,1.02,False
11,2012-03-12,3.36,False
12,2012-03-13,2.88,False
13,2012-03-14,3.12,False
14,2012-03-15,3.6599999999999997,False
15,2012-03-16,4.32,False
16,2012-03-17,1.2,False
17,2012-03-18,1.02,False
18,2012-03-19,4.32,False
19,2012-03-20,5.3999999999999995,False
20,2012-03-21,5.819999999999999,False
21,2012-03-22,3.7199999999999998,False
22,2012-03-23,3.78,False
23,2012-03-24,1.6199999999999999,False
24,2012-03-25,0.8999999999999999,False
25,2012-03-26,4.8,False
26,2012-03-27,6.0,False
27,2012-03-28,5.64,False
28,2012-03-29,4.2,False
29,2012-03-30,4.14,False
30,2012-03-31,2.2199999999999998,False
0,2012-04-01,0.08,False
1,2012-04-02,1.6,False
2,2012-04-03,1.44,False
3,2012-04-04,1.6,False
4,2012-04-05,1.84,False
5,2012-04-06,0.8,False
6,2012-04-07,0.4,False
7,2012-04-08,0.0,False
8,2012-04-09,1.04,False
9,2012-04-10,1.2,False
10,2012-04-11,1.12,False
11,2012-04-12,1.2,False
12,2012-04-13,1.2,False
13,2012-04-14,0.4,False
14,2012-04-15,0.32,False
15,2012-04-16,1.04,False
16,2012-04-17,1.44,False
17,2012-04-18,1.52,False
18,2012-04-19,1.28,False
19,2012-04-20,1.44,False
20,2012-04-21,0.4,False
21,2012-04-22,0.08,False
22,2012-04-23,0.88,False
23,2012-04-24,1.68,False
24,2012-04-25,1.84,False
25,2012-04-26,5.6000000000000005,False
26,2012-04-27,8.0,False
27,2012-04-28,1.92,False
28,2012-04-29,0.72,False
29,2012-04-30,3.36,False
0,2012-05-01,7.000000000000001,False
1,2012-05-02,4.48,False
2,2012-05-03,4.2,False
3,2012-05-04,3.22,False
4,2012-05-05,1.33,False
5,2012-05-06,1.54,False
6,2012-05-07,2.66,False
7,2012-05-08,4.83,False
8,2012-05-09,3.43,False
9,2012-05-10,2.7300000000000004,False
10,2012-05-11,2.66,False
11,2012-05-12,0.42000000000000004,False
12,2012-05-13,0.21000000000000002,False
13,2012-05-14,2.8000000000000003,False
14,2012-05-15,3.5000000000000004,False
15,2012-05-16,2.5200000000000005,False
16,2012-05-17,3.1500000000000004,False
17,2012-05-18,4.970000000000001,False
18,2012-05-19,2.31,False
19,2012-05-20,1.9600000000000002,False
20,2012-05-21,3.3600000000000003,False
21,2012-05-22,3.08,False
22,2012-05-23,3.08,False
23,2012-05-24,3.2900000000000005,False
24,2012-05-25,2.66,False
25,2012-05-26,0.9100000000000001,False
26,2012-05-27,0.42000000000000004,False
27,2012-05-28,1.33,False
28,2012-05-29,3.0100000000000002,False
29,2012-05-30,3.1500000000000004,False
30,2012-05-31,3.3600000000000003,False
0,2012-06-01,3.56,False
1,2012-06-02,1.2,False
2,2012-06-03,0.72,False
3,2012-06-04,2.36,False
4,2012-06-05,2.52,False
5,2012-06-06,3.24,False
6,2012-06-07,1.72,False
7,2012-06-08,2.88,False
8,2012-06-09,2.36,False
9,2012-06-10,1.04,False
10,2012-06-11,3.92,False
11,2012-06-12,3.04,False
12,2012-06-13,2.7600000000000002,False
13,2012-06-14,2.32,False
14,2012-06-15,2.92,False
15,2012-06-16,0.76,False
16,2012-06-17,2.08,False
17,2012-06-18,3.2,False
18,2012-06-19,2.0,False
19,2012-06-20,2.52,False
20,2012-06-21,3.2800000000000002,False
21,2012-06-22,2.2800000000000002,False
22,2012-06-23,0.76,False
23,2012-06-24,1.2,False
24,2012-06-25,1.8,False
25,2012-06-26,3.3200000000000003,False
26,2012-06-27,4.0,False
27,2012-06-28,2.2,False
28,2012-06-29,3.24,False
29,2012-06-30,1.4000000000000001,False
0,2012-07-01,0.72,False
1,2012-07-02,1.26,False
2,2012-07-03,1.38,False
3,2012-07-04,0.6599999999999999,False
4,2012-07-05,1.08,False
5,2012-07-06,1.6199999999999999,False
6,2012-07-07,0.54,False
7,2012-07-08,0.42,False
8,2012-07-09,1.38,False
9,2012-07-10,1.02,False
10,2012-07-11,1.2,False
11,2012-07-12,1.7999999999999998,False
12,2012-07-13,1.6199999999999999,False
13,2012-07-14,0.6,False
14,2012-07-15,0.6,False
15,2012-07-16,1.14,False
16,2012-07-17,0.96,False
17,2012-07-18,1.38,False
18,2012-07-19,2.1,False
19,2012-07-20,1.5,False
20,2012-07-21,0.6,False
21,2012-07-22,0.36,False
22,2012-07-23,1.74,False
23,2012-07-24,1.6199999999999999,False
24,2012-07-25,1.92,False
25,2012-07-26,6.0,False
26,2012-07-27,5.58,False
27,2012-07-28,2.28,False
28,2012-07-29,0.6599999999999999,False
29,2012-07-30,1.8599999999999999,False
30,2012-07-31,1.6199999999999999,False
0,2012-08-01,2.15,False
1,2012-08-02,2.2,False
2,2012-08-03,2.75,False
3,2012-08-04,2.0,False
4,2012-08-05,0.8,False
5,2012-08-06,2.35,False
6,2012-08-07,1.7000000000000002,False
7,2012-08-08,3.0,False
8,2012-08-09,2.3000000000000003,False
9,2012-08-10,1.9000000000000001,False
10,2012-08-11,0.55,False
11,2012-08-12,0.8,False
12,2012-08-13,2.25,False
13,2012-08-14,2.5500000000000003,False
14,2012-08-15,2.8000000000000003,False
15,2012-08-16,3.75,False
16,2012-08-17,3.8000000000000003,False
17,2012-08-18,2.3000000000000003,False
18,2012-08-19,1.25,False
19,2012-08-20,2.5500000000000003,False
20,2012-08-21,4.95,False
21,2012-08-22,3.75,False
22,2012-08-23,3.45,False
23,2012-08-24,3.95,False
24,2012-08-25,1.55,False
25,2012-08-26,1.25,False
26,2012-08-27,2.6,False
27,2012-08-28,3.3000000000000003,False
28,2012-08-29,2.8000000000000003,False
29,2012-08-30,5.0,False
30,2012-08-31,2.95,False
0,2012-09-01,1.05,False
1,2012-09-02,1.05,False
2,2012-09-03,0.7000000000000001,False
3,2012-09-04,1.61,False
4,2012-09-05,1.9600000000000002,False
5,2012-09-06,7.000000000000001,False
