date,ATVI stock,isPartial
2015-03-01,0,False
2015-03-02,49,False
2015-03-03,33,False
2015-03-04,0,False
2015-03-05,68,False
2015-03-06,35,False
2015-03-07,39,False
2015-03-08,39,False
2015-03-09,0,False
2015-03-10,33,False
2015-03-11,66,False
2015-03-12,34,False
2015-03-13,35,False
2015-03-14,39,False
2015-03-15,0,False
2015-03-16,66,False
2015-03-17,33,False
2015-03-18,33,False
2015-03-19,100,False
2015-03-20,34,False
2015-03-21,39,False
2015-03-22,38,False
2015-03-23,33,False
2015-03-24,66,False
2015-03-25,97,False
2015-03-26,58,False
2015-03-27,70,False
2015-03-28,0,False
2015-03-29,0,False
2015-03-30,83,False
2015-03-31,33,False
