date,BA stock,isPartial
2015-06-01,84,False
2015-06-02,59,False
2015-06-03,74,False
2015-06-04,99,False
2015-06-05,37,False
2015-06-06,42,False
2015-06-07,18,False
2015-06-08,84,False
2015-06-09,69,False
2015-06-10,79,False
2015-06-11,30,False
2015-06-12,53,False
2015-06-13,45,False
2015-06-14,44,False
2015-06-15,95,False
2015-06-16,98,False
2015-06-17,65,False
2015-06-18,45,False
2015-06-19,73,False
2015-06-20,27,False
2015-06-21,54,False
2015-06-22,74,False
2015-06-23,55,False
2015-06-24,95,False
2015-06-25,71,False
2015-06-26,100,False
2015-06-27,27,False
2015-06-28,24,False
2015-06-29,50,False
2015-06-30,75,False
