date,EA stock,isPartial
2018-02-01,100,False
2018-02-02,61,False
2018-02-03,23,False
2018-02-04,21,False
2018-02-05,37,False
2018-02-06,64,False
2018-02-07,43,False
2018-02-08,38,False
2018-02-09,49,False
2018-02-10,15,False
2018-02-11,8,False
2018-02-12,29,False
2018-02-13,28,False
2018-02-14,30,False
2018-02-15,39,False
2018-02-16,30,False
2018-02-17,16,False
2018-02-18,12,False
2018-02-19,9,False
2018-02-20,31,False
2018-02-21,22,False
2018-02-22,33,False
2018-02-23,23,False
2018-02-24,18,False
2018-02-25,13,False
2018-02-26,21,False
2018-02-27,31,False
2018-02-28,26,False
