date,EBAY stock,isPartial
2014-02-01,45,False
2014-02-02,62,False
2014-02-03,66,False
2014-02-04,71,False
2014-02-05,69,False
2014-02-06,83,False
2014-02-07,66,False
2014-02-08,65,False
2014-02-09,50,False
2014-02-10,75,False
2014-02-11,59,False
2014-02-12,68,False
2014-02-13,66,False
2014-02-14,61,False
2014-02-15,50,False
2014-02-16,46,False
2014-02-17,59,False
2014-02-18,62,False
2014-02-19,49,False
2014-02-20,63,False
2014-02-21,63,False
2014-02-22,33,False
2014-02-23,45,False
2014-02-24,90,False
2014-02-25,86,False
2014-02-26,75,False
2014-02-27,83,False
2014-02-28,100,False
