date,FB,isPartial
2012-01-01,100,False
2012-01-02,89,False
2012-01-03,82,False
2012-01-04,81,False
2012-01-05,79,False
2012-01-06,84,False
2012-01-07,97,False
2012-01-08,91,False
2012-01-09,78,False
2012-01-10,75,False
2012-01-11,77,False
2012-01-12,77,False
2012-01-13,78,False
2012-01-14,94,False
2012-01-15,90,False
2012-01-16,76,False
2012-01-17,74,False
2012-01-18,76,False
2012-01-19,79,False
2012-01-20,83,False
2012-01-21,100,False
2012-01-22,93,False
2012-01-23,79,False
2012-01-24,76,False
2012-01-25,80,False
2012-01-26,80,False
2012-01-27,79,False
2012-01-28,92,False
2012-01-29,87,False
2012-01-30,74,False
2012-01-31,75,False
