date,HD,isPartial
2012-09-01,96,False
2012-09-02,94,False
2012-09-03,80,False
2012-09-04,76,False
2012-09-05,74,False
2012-09-06,80,False
2012-09-07,89,False
2012-09-08,99,False
2012-09-09,97,False
2012-09-10,77,False
2012-09-11,79,False
2012-09-12,77,False
2012-09-13,77,False
2012-09-14,81,False
2012-09-15,97,False
2012-09-16,94,False
2012-09-17,77,False
2012-09-18,75,False
2012-09-19,78,False
2012-09-20,79,False
2012-09-21,80,False
2012-09-22,95,False
2012-09-23,98,False
2012-09-24,76,False
2012-09-25,74,False
2012-09-26,76,False
2012-09-27,79,False
2012-09-28,83,False
2012-09-29,97,False
2012-09-30,100,False
