date,HD stock,isPartial
2018-07-01,29,False
2018-07-02,72,False
2018-07-03,83,False
2018-07-04,49,False
2018-07-05,59,False
2018-07-06,84,False
2018-07-07,45,False
2018-07-08,25,False
2018-07-09,86,False
2018-07-10,83,False
2018-07-11,83,False
2018-07-12,86,False
2018-07-13,100,False
2018-07-14,47,False
2018-07-15,21,False
2018-07-16,59,False
2018-07-17,92,False
2018-07-18,75,False
2018-07-19,75,False
2018-07-20,88,False
2018-07-21,56,False
2018-07-22,43,False
2018-07-23,58,False
2018-07-24,84,False
2018-07-25,92,False
2018-07-26,59,False
2018-07-27,68,False
2018-07-28,62,False
2018-07-29,55,False
2018-07-30,80,False
2018-07-31,65,False
