date,INTC,isPartial
2015-10-01,47,False
2015-10-02,39,False
2015-10-03,16,False
2015-10-04,14,False
2015-10-05,47,False
2015-10-06,50,False
2015-10-07,51,False
2015-10-08,40,False
2015-10-09,52,False
2015-10-10,9,False
2015-10-11,3,False
2015-10-12,39,False
2015-10-13,100,False
2015-10-14,79,False
2015-10-15,44,False
2015-10-16,56,False
2015-10-17,22,False
2015-10-18,12,False
2015-10-19,45,False
2015-10-20,45,False
2015-10-21,50,False
2015-10-22,69,False
2015-10-23,63,False
2015-10-24,27,False
2015-10-25,10,False
2015-10-26,44,False
2015-10-27,46,False
2015-10-28,37,False
2015-10-29,50,False
2015-10-30,43,False
2015-10-31,14,False
