date,KO stock,isPartial
2016-05-01,35,False
2016-05-02,60,False
2016-05-03,74,False
2016-05-04,70,False
2016-05-05,88,False
2016-05-06,90,False
2016-05-07,83,False
2016-05-08,23,False
2016-05-09,55,False
2016-05-10,74,False
2016-05-11,84,False
2016-05-12,55,False
2016-05-13,72,False
2016-05-14,40,False
2016-05-15,11,False
2016-05-16,69,False
2016-05-17,68,False
2016-05-18,34,False
2016-05-19,74,False
2016-05-20,58,False
2016-05-21,23,False
2016-05-22,46,False
2016-05-23,54,False
2016-05-24,59,False
2016-05-25,100,False
2016-05-26,68,False
2016-05-27,80,False
2016-05-28,41,False
2016-05-29,35,False
2016-05-30,26,False
2016-05-31,55,False
