,date,KO,isPartial
0,2012-01-01,37.35,False
1,2012-01-02,34.2,False
2,2012-01-03,33.75,False
3,2012-01-04,32.85,False
4,2012-01-05,33.75,False
5,2012-01-06,36.9,False
6,2012-01-07,38.25,False
7,2012-01-08,35.550000000000004,False
8,2012-01-09,32.4,False
9,2012-01-10,34.2,False
10,2012-01-11,31.95,False
11,2012-01-12,33.300000000000004,False
12,2012-01-13,33.75,False
13,2012-01-14,36.9,False
14,2012-01-15,35.550000000000004,False
15,2012-01-16,33.300000000000004,False
16,2012-01-17,34.2,False
17,2012-01-18,34.65,False
18,2012-01-19,33.75,False
19,2012-01-20,36.9,False
20,2012-01-21,36.9,False
21,2012-01-22,36.9,False
22,2012-01-23,34.65,False
23,2012-01-24,35.1,False
24,2012-01-25,34.65,False
25,2012-01-26,36.0,False
26,2012-01-27,38.7,False
27,2012-01-28,45.0,False
28,2012-01-29,42.75,False
29,2012-01-30,36.9,False
30,2012-01-31,39.15,False
0,2012-02-01,43.5,False
1,2012-02-02,43.0,False
2,2012-02-03,44.5,False
3,2012-02-04,44.5,False
4,2012-02-05,43.0,False
5,2012-02-06,40.5,False
6,2012-02-07,41.5,False
7,2012-02-08,43.0,False
8,2012-02-09,43.5,False
9,2012-02-10,45.0,False
10,2012-02-11,46.5,False
11,2012-02-12,41.0,False
12,2012-02-13,39.0,False
13,2012-02-14,42.5,False
14,2012-02-15,45.0,False
15,2012-02-16,46.0,False
16,2012-02-17,47.0,False
17,2012-02-18,50.0,False
18,2012-02-19,46.5,False
19,2012-02-20,44.0,False
20,2012-02-21,46.0,False
21,2012-02-22,43.5,False
22,2012-02-23,45.0,False
23,2012-02-24,47.0,False
24,2012-02-25,47.0,False
25,2012-02-26,42.5,False
26,2012-02-27,40.5,False
27,2012-02-28,42.5,False
28,2012-02-29,42.5,False
0,2012-03-01,43.86,False
1,2012-03-02,47.43,False
2,2012-03-03,49.980000000000004,False
3,2012-03-04,43.86,False
4,2012-03-05,40.8,False
5,2012-03-06,43.35,False
6,2012-03-07,44.37,False
7,2012-03-08,43.86,False
8,2012-03-09,44.37,False
9,2012-03-10,46.92,False
10,2012-03-11,41.31,False
11,2012-03-12,40.8,False
12,2012-03-13,46.410000000000004,False
13,2012-03-14,44.37,False
14,2012-03-15,46.410000000000004,False
15,2012-03-16,49.47,False
16,2012-03-17,51.0,False
17,2012-03-18,45.39,False
18,2012-03-19,42.84,False
19,2012-03-20,45.9,False
20,2012-03-21,45.39,False
21,2012-03-22,44.88,False
22,2012-03-23,46.410000000000004,False
23,2012-03-24,45.9,False
24,2012-03-25,42.84,False
25,2012-03-26,44.37,False
26,2012-03-27,46.92,False
27,2012-03-28,47.94,False
28,2012-03-29,48.45,False
29,2012-03-30,48.96,False
30,2012-03-31,47.94,False
0,2012-04-01,42.63,False
1,2012-04-02,42.14,False
2,2012-04-03,47.53,False
3,2012-04-04,47.04,False
4,2012-04-05,45.57,False
5,2012-04-06,49.0,False
6,2012-04-07,49.0,False
7,2012-04-08,44.589999999999996,False
8,2012-04-09,48.51,False
9,2012-04-10,43.61,False
10,2012-04-11,43.61,False
11,2012-04-12,44.1,False
12,2012-04-13,45.08,False
13,2012-04-14,46.06,False
14,2012-04-15,39.69,False
15,2012-04-16,39.2,False
16,2012-04-17,42.63,False
17,2012-04-18,39.69,False
18,2012-04-19,44.1,False
19,2012-04-20,42.14,False
20,2012-04-21,47.04,False
21,2012-04-22,39.2,False
22,2012-04-23,39.2,False
23,2012-04-24,39.69,False
24,2012-04-25,41.65,False
25,2012-04-26,42.14,False
26,2012-04-27,45.57,False
27,2012-04-28,44.1,False
28,2012-04-29,41.65,False
29,2012-04-30,40.18,False
0,2012-05-01,41.6,False
1,2012-05-02,39.52,False
2,2012-05-03,41.6,False
3,2012-05-04,43.68,False
4,2012-05-05,44.2,False
5,2012-05-06,40.04,False
6,2012-05-07,40.04,False
7,2012-05-08,41.08,False
8,2012-05-09,44.2,False
9,2012-05-10,40.56,False
10,2012-05-11,43.68,False
11,2012-05-12,52.0,False
12,2012-05-13,46.28,False
13,2012-05-14,41.08,False
14,2012-05-15,43.160000000000004,False
15,2012-05-16,42.120000000000005,False
16,2012-05-17,46.800000000000004,False
17,2012-05-18,44.72,False
18,2012-05-19,47.84,False
19,2012-05-20,43.68,False
20,2012-05-21,40.04,False
21,2012-05-22,43.68,False
22,2012-05-23,46.28,False
23,2012-05-24,44.2,False
24,2012-05-25,44.72,False
25,2012-05-26,47.32,False
26,2012-05-27,44.72,False
27,2012-05-28,42.120000000000005,False
28,2012-05-29,42.120000000000005,False
29,2012-05-30,43.160000000000004,False
30,2012-05-31,44.72,False
0,2012-06-01,49.92,False
1,2012-06-02,52.0,False
2,2012-06-03,45.760000000000005,False
3,2012-06-04,45.760000000000005,False
4,2012-06-05,45.760000000000005,False
5,2012-06-06,42.64,False
6,2012-06-07,44.72,False
7,2012-06-08,48.36,False
8,2012-06-09,47.32,False
9,2012-06-10,41.6,False
10,2012-06-11,38.480000000000004,False
11,2012-06-12,39.52,False
12,2012-06-13,41.6,False
13,2012-06-14,41.6,False
14,2012-06-15,45.760000000000005,False
15,2012-06-16,45.24,False
16,2012-06-17,41.08,False
17,2012-06-18,38.480000000000004,False
18,2012-06-19,40.04,False
19,2012-06-20,42.120000000000005,False
20,2012-06-21,41.6,False
21,2012-06-22,40.56,False
22,2012-06-23,42.64,False
23,2012-06-24,42.64,False
24,2012-06-25,39.0,False
25,2012-06-26,39.52,False
26,2012-06-27,43.160000000000004,False
27,2012-06-28,41.6,False
28,2012-06-29,44.2,False
29,2012-06-30,45.760000000000005,False
0,2012-07-01,39.53,False
1,2012-07-02,37.169999999999995,False
2,2012-07-03,42.48,False
3,2012-07-04,46.019999999999996,False
4,2012-07-05,42.48,False
5,2012-07-06,45.43,False
6,2012-07-07,48.379999999999995,False
7,2012-07-08,44.25,False
8,2012-07-09,40.71,False
9,2012-07-10,44.839999999999996,False
10,2012-07-11,44.839999999999996,False
11,2012-07-12,44.25,False
12,2012-07-13,47.199999999999996,False
13,2012-07-14,53.099999999999994,False
14,2012-07-15,48.97,False
15,2012-07-16,46.019999999999996,False
16,2012-07-17,43.66,False
17,2012-07-18,46.019999999999996,False
18,2012-07-19,46.61,False
19,2012-07-20,48.379999999999995,False
20,2012-07-21,46.019999999999996,False
21,2012-07-22,44.25,False
22,2012-07-23,38.94,False
23,2012-07-24,44.839999999999996,False
24,2012-07-25,45.43,False
25,2012-07-26,46.019999999999996,False
26,2012-07-27,59.0,False
27,2012-07-28,51.919999999999995,False
28,2012-07-29,46.019999999999996,False
29,2012-07-30,43.66,False
30,2012-07-31,43.66,False
0,2012-08-01,51.0,False
1,2012-08-02,56.4,False
2,2012-08-03,57.599999999999994,False
3,2012-08-04,54.6,False
4,2012-08-05,51.6,False
5,2012-08-06,49.199999999999996,False
6,2012-08-07,51.6,False
7,2012-08-08,54.0,False
8,2012-08-09,55.199999999999996,False
9,2012-08-10,57.0,False
10,2012-08-11,57.599999999999994,False
11,2012-08-12,56.4,False
12,2012-08-13,53.4,False
13,2012-08-14,60.0,False
14,2012-08-15,58.8,False
15,2012-08-16,54.6,False
16,2012-08-17,54.0,False
17,2012-08-18,56.4,False
18,2012-08-19,49.8,False
19,2012-08-20,49.8,False
20,2012-08-21,51.6,False
21,2012-08-22,52.8,False
22,2012-08-23,51.0,False
23,2012-08-24,52.199999999999996,False
24,2012-08-25,52.8,False
25,2012-08-26,52.199999999999996,False
26,2012-08-27,51.6,False
27,2012-08-28,48.0,False
28,2012-08-29,48.6,False
29,2012-08-30,49.8,False
30,2012-08-31,51.0,False
0,2012-09-01,51.52,False
1,2012-09-02,47.040000000000006,False
2,2012-09-03,44.800000000000004,False
3,2012-09-04,46.480000000000004,False
4,2012-09-05,45.92,False
5,2012-09-06,44.800000000000004,False
6,2012-09-07,47.040000000000006,False
7,2012-09-08,50.96000000000001,False
8,2012-09-09,49.28,False
9,2012-09-10,43.120000000000005,False
10,2012-09-11,43.68000000000001,False
11,2012-09-12,47.040000000000006,False
12,2012-09-13,47.040000000000006,False
13,2012-09-14,47.6,False
14,2012-09-15,56.00000000000001,False
15,2012-09-16,49.28,False
16,2012-09-17,45.92,False
17,2012-09-18,44.800000000000004,False
18,2012-09-19,47.040000000000006,False
19,2012-09-20,47.040000000000006,False
20,2012-09-21,47.6,False
21,2012-09-22,53.2,False
22,2012-09-23,47.040000000000006,False
23,2012-09-24,44.24,False
24,2012-09-25,48.160000000000004,False
25,2012-09-26,49.84,False
26,2012-09-27,49.84,False
27,2012-09-28,52.64000000000001,False
28,2012-09-29,55.440000000000005,False
29,2012-09-30,45.36000000000001,False
0,2012-10-01,48.230000000000004,False
1,2012-10-02,52.470000000000006,False
2,2012-10-03,50.35,False
3,2012-10-04,50.88,False
4,2012-10-05,51.940000000000005,False
5,2012-10-06,53.0,False
6,2012-10-07,46.11,False
7,2012-10-08,48.230000000000004,False
8,2012-10-09,49.29,False
9,2012-10-10,50.88,False
10,2012-10-11,48.230000000000004,False
11,2012-10-12,50.35,False
12,2012-10-13,51.940000000000005,False
13,2012-10-14,43.46,False
14,2012-10-15,41.870000000000005,False
15,2012-10-16,47.17,False
16,2012-10-17,46.64,False
17,2012-10-18,45.050000000000004,False
18,2012-10-19,45.580000000000005,False
19,2012-10-20,46.11,False
20,2012-10-21,42.93,False
21,2012-10-22,42.93,False
22,2012-10-23,43.46,False
23,2012-10-24,41.870000000000005,False
24,2012-10-25,44.52,False
25,2012-10-26,45.050000000000004,False
26,2012-10-27,46.64,False
27,2012-10-28,41.870000000000005,False
28,2012-10-29,36.57,False
29,2012-10-30,41.870000000000005,False
30,2012-10-31,42.400000000000006,False
0,2012-11-01,46.0,False
1,2012-11-02,45.5,False
2,2012-11-03,49.0,False
3,2012-11-04,43.0,False
4,2012-11-05,42.0,False
5,2012-11-06,41.5,False
6,2012-11-07,40.5,False
7,2012-11-08,45.0,False
8,2012-11-09,45.0,False
9,2012-11-10,48.5,False
10,2012-11-11,39.5,False
11,2012-11-12,40.5,False
12,2012-11-13,41.5,False
13,2012-11-14,42.0,False
14,2012-11-15,39.5,False
15,2012-11-16,41.0,False
16,2012-11-17,41.5,False
17,2012-11-18,40.5,False
18,2012-11-19,39.0,False
19,2012-11-20,42.0,False
20,2012-11-21,42.5,False
21,2012-11-22,44.0,False
22,2012-11-23,42.5,False
23,2012-11-24,43.0,False
24,2012-11-25,39.5,False
25,2012-11-26,39.5,False
26,2012-11-27,44.5,False
27,2012-11-28,43.5,False
28,2012-11-29,44.0,False
29,2012-11-30,50.0,False
0,2012-12-01,37.72,False
1,2012-12-02,33.58,False
2,2012-12-03,28.52,False
3,2012-12-04,29.44,False
4,2012-12-05,29.900000000000002,False
5,2012-12-06,28.98,False
6,2012-12-07,28.52,False
7,2012-12-08,33.120000000000005,False
8,2012-12-09,46.0,False
9,2012-12-10,31.28,False
10,2012-12-11,29.44,False
11,2012-12-12,28.98,False
12,2012-12-13,28.52,False
13,2012-12-14,29.44,False
14,2012-12-15,32.660000000000004,False
15,2012-12-16,32.660000000000004,False
16,2012-12-17,26.220000000000002,False
17,2012-12-18,27.14,False
18,2012-12-19,28.98,False
19,2012-12-20,27.6,False
20,2012-12-21,27.14,False
21,2012-12-22,32.2,False
22,2012-12-23,31.740000000000002,False
23,2012-12-24,32.2,False
24,2012-12-25,33.58,False
25,2012-12-26,29.900000000000002,False
26,2012-12-27,29.900000000000002,False
27,2012-12-28,31.740000000000002,False
28,2012-12-29,29.900000000000002,False
29,2012-12-30,32.660000000000004,False
30,2012-12-31,29.44,False
0,2013-01-01,42.57,False
1,2013-01-02,38.269999999999996,False
2,2013-01-03,36.98,False
3,2013-01-04,39.56,False
4,2013-01-05,42.57,False
5,2013-01-06,42.57,False
6,2013-01-07,37.41,False
7,2013-01-08,36.55,False
8,2013-01-09,36.12,False
9,2013-01-10,37.41,False
10,2013-01-11,39.13,False
11,2013-01-12,43.0,False
12,2013-01-13,42.14,False
13,2013-01-14,35.69,False
14,2013-01-15,35.69,False
15,2013-01-16,37.41,False
16,2013-01-17,38.269999999999996,False
17,2013-01-18,39.56,False
18,2013-01-19,42.14,False
19,2013-01-20,41.71,False
20,2013-01-21,36.12,False
21,2013-01-22,35.26,False
22,2013-01-23,36.98,False
23,2013-01-24,35.69,False
24,2013-01-25,35.26,False
25,2013-01-26,40.85,False
26,2013-01-27,42.14,False
27,2013-01-28,35.26,False
28,2013-01-29,35.26,False
29,2013-01-30,36.55,False
30,2013-01-31,36.98,False
0,2013-02-01,32.76,False
1,2013-02-02,37.8,False
2,2013-02-03,38.64,False
3,2013-02-04,32.76,False
4,2013-02-05,34.44,False
5,2013-02-06,35.699999999999996,False
6,2013-02-07,34.019999999999996,False
7,2013-02-08,34.44,False
8,2013-02-09,36.96,False
9,2013-02-10,38.64,False
10,2013-02-11,31.919999999999998,False
11,2013-02-12,33.6,False
12,2013-02-13,31.08,False
13,2013-02-14,33.18,False
14,2013-02-15,35.28,False
15,2013-02-16,42.0,False
16,2013-02-17,39.48,False
17,2013-02-18,33.6,False
18,2013-02-19,35.28,False
19,2013-02-20,34.019999999999996,False
20,2013-02-21,35.28,False
21,2013-02-22,36.96,False
22,2013-02-23,39.059999999999995,False
23,2013-02-24,39.059999999999995,False
24,2013-02-25,33.6,False
25,2013-02-26,31.919999999999998,False
26,2013-02-27,33.6,False
27,2013-02-28,33.6,False
0,2013-03-01,36.9,False
1,2013-03-02,41.4,False
2,2013-03-03,40.5,False
3,2013-03-04,35.1,False
4,2013-03-05,34.2,False
5,2013-03-06,36.9,False
6,2013-03-07,36.9,False
7,2013-03-08,36.9,False
8,2013-03-09,40.050000000000004,False
9,2013-03-10,40.050000000000004,False
10,2013-03-11,35.550000000000004,False
11,2013-03-12,34.65,False
