date,MU stock,isPartial
2014-04-01,49,False
2014-04-02,61,False
2014-04-03,55,False
2014-04-04,100,False
2014-04-05,49,False
2014-04-06,13,False
2014-04-07,49,False
2014-04-08,46,False
2014-04-09,41,False
2014-04-10,48,False
2014-04-11,35,False
2014-04-12,20,False
2014-04-13,20,False
2014-04-14,53,False
2014-04-15,36,False
2014-04-16,40,False
2014-04-17,56,False
2014-04-18,35,False
2014-04-19,10,False
2014-04-20,32,False
2014-04-21,56,False
2014-04-22,65,False
2014-04-23,58,False
2014-04-24,61,False
2014-04-25,13,False
2014-04-26,36,False
2014-04-27,29,False
2014-04-28,27,False
2014-04-29,54,False
2014-04-30,31,False
