date,NFLX,isPartial
2014-04-01,26,False
2014-04-02,26,False
2014-04-03,24,False
2014-04-04,30,False
2014-04-05,8,False
2014-04-06,8,False
2014-04-07,20,False
2014-04-08,26,False
2014-04-09,19,False
2014-04-10,22,False
2014-04-11,32,False
2014-04-12,7,False
2014-04-13,7,False
2014-04-14,21,False
2014-04-15,30,False
2014-04-16,38,False
2014-04-17,33,False
2014-04-18,13,False
2014-04-19,4,False
2014-04-20,15,False
2014-04-21,100,False
2014-04-22,98,False
2014-04-23,37,False
2014-04-24,26,False
2014-04-25,40,False
2014-04-26,19,False
2014-04-27,5,False
2014-04-28,27,False
2014-04-29,27,False
2014-04-30,24,False
