date,ODP stock,isPartial
2014-12-01,32,False
2014-12-02,32,False
2014-12-03,0,False
2014-12-04,33,False
2014-12-05,35,False
2014-12-06,0,False
2014-12-07,0,False
2014-12-08,33,False
2014-12-09,32,False
2014-12-10,33,False
2014-12-11,50,False
2014-12-12,58,False
2014-12-13,40,False
2014-12-14,0,False
2014-12-15,66,False
2014-12-16,33,False
2014-12-17,57,False
2014-12-18,58,False
2014-12-19,73,False
2014-12-20,41,False
2014-12-21,41,False
2014-12-22,71,False
2014-12-23,36,False
2014-12-24,41,False
2014-12-25,44,False
2014-12-26,39,False
2014-12-27,0,False
2014-12-28,40,False
2014-12-29,35,False
2014-12-30,36,False
2014-12-31,100,False
