date,PEP stock,isPartial
2017-07-01,12,False
2017-07-02,12,False
2017-07-03,32,False
2017-07-04,11,False
2017-07-05,27,False
2017-07-06,27,False
2017-07-07,17,False
2017-07-08,12,False
2017-07-09,12,False
2017-07-10,79,False
2017-07-11,100,False
2017-07-12,74,False
2017-07-13,59,False
2017-07-14,22,False
2017-07-15,31,False
2017-07-16,12,False
2017-07-17,37,False
2017-07-18,37,False
2017-07-19,26,False
2017-07-20,26,False
2017-07-21,16,False
2017-07-22,12,False
2017-07-23,24,False
2017-07-24,41,False
2017-07-25,47,False
2017-07-26,21,False
2017-07-27,32,False
2017-07-28,33,False
2017-07-29,18,False
2017-07-30,18,False
2017-07-31,21,False
