date,SBUX stock,isPartial
2015-03-01,20,False
2015-03-02,35,False
2015-03-03,22,False
2015-03-04,48,False
2015-03-05,31,False
2015-03-06,28,False
2015-03-07,21,False
2015-03-08,10,False
2015-03-09,22,False
2015-03-10,26,False
2015-03-11,39,False
2015-03-12,49,False
2015-03-13,27,False
2015-03-14,10,False
2015-03-15,15,False
2015-03-16,44,False
2015-03-17,31,False
2015-03-18,44,False
2015-03-19,92,False
2015-03-20,45,False
2015-03-21,31,False
2015-03-22,31,False
2015-03-23,100,False
2015-03-24,83,False
2015-03-25,51,False
2015-03-26,46,False
2015-03-27,50,False
2015-03-28,39,False
2015-03-29,21,False
2015-03-30,61,False
2015-03-31,40,False
