date,SIRI stock,isPartial
2015-03-01,12,False
2015-03-02,59,False
2015-03-03,70,False
2015-03-04,70,False
2015-03-05,71,False
2015-03-06,74,False
2015-03-07,25,False
2015-03-08,21,False
2015-03-09,46,False
2015-03-10,66,False
2015-03-11,59,False
2015-03-12,43,False
2015-03-13,55,False
2015-03-14,16,False
2015-03-15,24,False
2015-03-16,49,False
2015-03-17,49,False
2015-03-18,100,False
2015-03-19,63,False
2015-03-20,54,False
2015-03-21,19,False
2015-03-22,20,False
2015-03-23,59,False
2015-03-24,66,False
2015-03-25,31,False
2015-03-26,37,False
2015-03-27,59,False
2015-03-28,27,False
2015-03-29,17,False
2015-03-30,49,False
2015-03-31,28,False
