date,TWTR,isPartial
2017-10-01,8,False
2017-10-02,16,False
2017-10-03,19,False
2017-10-04,14,False
2017-10-05,13,False
2017-10-06,15,False
2017-10-07,8,False
2017-10-08,5,False
2017-10-09,14,False
2017-10-10,12,False
2017-10-11,16,False
2017-10-12,20,False
2017-10-13,19,False
2017-10-14,6,False
2017-10-15,7,False
2017-10-16,12,False
2017-10-17,12,False
2017-10-18,13,False
2017-10-19,21,False
2017-10-20,22,False
2017-10-21,3,False
2017-10-22,3,False
2017-10-23,13,False
2017-10-24,19,False
2017-10-25,22,False
2017-10-26,100,False
2017-10-27,57,False
2017-10-28,10,False
2017-10-29,5,False
2017-10-30,26,False
2017-10-31,27,False
