date,TXN stock,isPartial
2018-11-01,57,False
2018-11-02,100,False
2018-11-03,12,False
2018-11-04,11,False
2018-11-05,29,False
2018-11-06,40,False
2018-11-07,85,False
2018-11-08,60,False
2018-11-09,53,False
2018-11-10,17,False
2018-11-11,11,False
2018-11-12,57,False
2018-11-13,51,False
2018-11-14,51,False
2018-11-15,79,False
2018-11-16,42,False
2018-11-17,12,False
2018-11-18,23,False
2018-11-19,38,False
2018-11-20,51,False
2018-11-21,48,False
2018-11-22,10,False
2018-11-23,31,False
2018-11-24,23,False
2018-11-25,11,False
2018-11-26,36,False
2018-11-27,33,False
2018-11-28,61,False
2018-11-29,24,False
2018-11-30,48,False
