date,WMT,isPartial
2012-08-01,42,False
2012-08-02,57,False
2012-08-03,44,False
2012-08-04,47,False
2012-08-05,9,False
2012-08-06,41,False
2012-08-07,45,False
2012-08-08,42,False
2012-08-09,46,False
2012-08-10,55,False
2012-08-11,14,False
2012-08-12,33,False
2012-08-13,30,False
2012-08-14,52,False
2012-08-15,62,False
2012-08-16,100,False
2012-08-17,48,False
2012-08-18,33,False
2012-08-19,19,False
2012-08-20,35,False
2012-08-21,57,False
2012-08-22,45,False
2012-08-23,46,False
2012-08-24,32,False
2012-08-25,41,False
2012-08-26,9,False
2012-08-27,66,False
2012-08-28,40,False
2012-08-29,44,False
2012-08-30,22,False
2012-08-31,35,False
