date,GOOG,isPartial
2015-05-01,94,False
2015-05-02,85,False
2015-05-03,83,False
2015-05-04,94,False
2015-05-05,94,False
2015-05-06,94,False
2015-05-07,95,False
2015-05-08,96,False
2015-05-09,86,False
2015-05-10,87,False
2015-05-11,100,False
2015-05-12,91,False
2015-05-13,94,False
2015-05-14,92,False
2015-05-15,91,False
2015-05-16,87,False
2015-05-17,85,False
2015-05-18,95,False
2015-05-19,97,False
2015-05-20,92,False
2015-05-21,92,False
2015-05-22,94,False
2015-05-23,83,False
2015-05-24,81,False
2015-05-25,86,False
2015-05-26,92,False
2015-05-27,89,False
2015-05-28,92,False
2015-05-29,90,False
2015-05-30,82,False
2015-05-31,81,False
