date,GOOG stock,isPartial
2016-04-01,32,False
2016-04-02,18,False
2016-04-03,3,False
2016-04-04,24,False
2016-04-05,23,False
2016-04-06,31,False
2016-04-07,26,False
2016-04-08,32,False
2016-04-09,3,False
2016-04-10,3,False
2016-04-11,28,False
2016-04-12,23,False
2016-04-13,38,False
2016-04-14,24,False
2016-04-15,25,False
2016-04-16,6,False
2016-04-17,7,False
2016-04-18,31,False
2016-04-19,37,False
2016-04-20,38,False
2016-04-21,100,False
2016-04-22,97,False
2016-04-23,17,False
2016-04-24,16,False
2016-04-25,42,False
2016-04-26,33,False
2016-04-27,63,False
2016-04-28,62,False
2016-04-29,46,False
2016-04-30,16,False
